,created_at,hours,full_text
47,2021-02-04 15:34:46+00:00,15.579444444444444,"This is a deeply cynical &amp; disgusting attack, @NancyMace.

As the Capitol complex was stormed and people were being killed, none of us knew in the moment what areas were compromised.

You previously told reporters yourself that you barricaded in your office, afraid you’d be hurt. https://t.co/4FyWsaXSDx https://t.co/7gW6yKO9gJ"
48,2021-02-04 15:33:37+00:00,15.56027777777778,"@NancyMace This is a deeply cynical &amp; disgusting attack, @NancyMace.

As the Capitol complex was stormed &amp; people were being killed, none of us knew in the moment what areas were compromised.

You previously told reporters yourself that you barricaded in your office, afraid you’d be hurt. https://t.co/n4yoBXAUal"
49,2021-02-04 00:20:11+00:00,0.33638888888888885,"RT @JamaalBowmanNY: Republicans booed sister @CoriBush when she denounced white supremacy.

They just cheered someone who said Parkland and…"
50,2021-02-04 00:17:20+00:00,0.28888888888888886,"Sen. @MarshaBlackburn, you were more than comfortable going on TV to disparage me as a House member, so your excuse here doesn’t add up.

If you don’t support these racist, antisemitic conspiracy theories coming from your GOP House colleagues, why won’t you denounce them? https://t.co/7QJixUYHuW"
51,2021-02-03 23:38:30+00:00,23.641666666666666,"The sad thing about disinformation is that once the truth comes out, the damage has already been done. People have already been misled, radicalized &amp; believe lies to a point where their hatred has brewed to violence.

That’s what led to the 6th, and it’s happening right now."
52,2021-02-03 23:07:07+00:00,23.11861111111111,"Honestly what message were Republicans trying to send by appointing to the Education and Labor Committee a woman who believes the Sandy Hook shooting was fake and mocks Parkland survivors?

Individuals don’t get final say in cmtes. GOP leadership *picked* that assignment for her."
53,2021-02-03 22:09:30+00:00,22.15833333333333,"This is all to say that survivors are watching. Loved ones are watching. They may share their story tomorrow, or in months or years. Or they may never.

Speaking vitriol towards other survivors hurts you &amp; your loved ones. Bc dismissers rob themselves of meaningful relationships."
54,2021-02-03 21:59:36+00:00,21.993333333333336,"To be honest, every step of the way there were affirmers - @RepKatiePorter offering safety, @AyannaPressley pressing the pause button to acknowledge trauma, the courage of @Biaggi4NY, @yuhline, @CatalinaCruzNY &amp; many others to tell their stories publicly helped me share mine."
55,2021-02-03 21:54:59+00:00,21.91638888888889,"I really wrestled w telling my story, &amp; had decided about a week ago that it probably wasn’t worth it.

Then I had dinner with Sen. @Biaggi4NY. I told her everything because I knew she was a survivor. She helped me see the importance of sharing my story of the Capitol and trauma."
56,2021-02-03 21:50:34+00:00,21.842777777777776,"You may not know that you know a survivor, but it’s highly likely that you do.

Survivors of trauma are close to you. They are people you love &amp; you may not know.

Many decide whether their story is safe with someone by how they respond to other survivors.

Don’t push them away."
57,2021-02-03 19:03:45+00:00,19.0625,"Y’all!

Today is @AyannaPressley’s birthday! One of the greatest to ever do it.

Brilliant leader. Fearless champion. Masterful legislator. Uplifter. Organizer. She is everything.

Please join me in wishing her a happy birthday! 💐 https://t.co/DAGnhN5SYw"
58,2021-02-03 18:45:43+00:00,18.761944444444445,"@JackPosobiec This isn’t a fact check at all. Your arrows aren’t accurate. They lie about where the mob stormed &amp; place them further away than it was.

You also fail to the convey *multiple* areas people were trying to storm. It wasn’t 1. You also failed to show tunnels. Poor job all around."
59,2021-02-03 18:01:50+00:00,18.030555555555555,"It is also very damning and revealing that the GOP is now digging both heels in a discrediting campaign.

It’s because they know they are implicated, so they’re pivoting to (again) the classic abuse playbook of “it’s not as bad as they say.”

It was that bad. It’s actually worse."
60,2021-02-03 17:58:46+00:00,17.979444444444443,"People were trying to rush and infiltrate our office buildings - that’s why we had to get evacuated in the first place.

The attempts of attackers &amp; publicly available communications show how they tried to gain access and share location info on finding members for physical harm."
